城市,站点名称,时间,状态,PM2.5(μg/m3),PM10(μg/m3),O3 8小时(μg/m3),NO2(μg/m3),SO2(μg/m3),CO(mg/m3),AQI,首要污染物,空气质量,等级,PM2.5 IAQI,PM10IAQI,O3 8小时IAQI,NO2 IAQI,SO2 IAQI,CO IAQI
长沙市,长沙市, 2017/2/15 0:00:00,已复核,85,132,95,90,27,1.3,113,PM2.5,轻度污染,三级,113,91,48,105,27,33
长沙市,长沙市, 2017/2/16 0:00:00,已复核,74,112,117,67,24,1.1,99,PM2.5,良,二级,99,81,65,84,24,28
长沙市,长沙市, 2017/2/17 0:00:00,已复核,126,157,97,45,15,1.2,166,PM2.5,中度污染,四级,166,104,49,57,15,30
长沙市,长沙市, 2017/2/18 0:00:00,已复核,104,134,31,45,11,0.9,137,PM2.5,轻度污染,三级,137,92,16,57,11,23
长沙市,长沙市, 2017/2/19 0:00:00,已复核,111,149,98,63,25,1.3,145,PM2.5,轻度污染,三级,145,100,49,79,25,33
长沙市,长沙市, 2017/2/20 0:00:00,已复核,69,100,72,47,19,0.9,93,PM2.5,良,二级,93,75,36,59,19,23
长沙市,长沙市, 2017/2/21 0:00:00,已复核,33,42,36,25,6,0.6,48,,优,一级,48,42,18,32,6,15
长沙市,长沙市, 2017/2/22 0:00:00,已复核,37,33,50,25,7,0.6,53,PM2.5,良,二级,53,33,25,32,7,15
长沙市,长沙市, 2017/2/23 0:00:00,已复核,46,42,65,30,10,0.7,64,PM2.5,良,二级,64,42,33,38,10,18
长沙市,长沙市, 2017/2/24 0:00:00,已复核,39,43,74,36,8,0.6,55,PM2.5,良,二级,55,43,37,45,8,15
长沙市,长沙市, 2017/2/25 0:00:00,已复核,59,70,89,48,11,0.8,80,PM2.5,良,二级,80,60,45,60,11,20
长沙市,长沙市, 2017/2/26 0:00:00,已复核,65,84,109,59,15,0.9,88,PM2.5,良,二级,88,67,58,74,15,23
长沙市,长沙市, 2017/2/27 0:00:00,已复核,68,98,102,75,19,0.9,94,NO2,良,二级,92,74,52,94,19,23
长沙市,长沙市, 2017/2/28 0:00:00,已复核,82,129,103,78,30,1.1,109,PM2.5,轻度污染,三级,109,90,53,98,30,28
株洲市,株洲市, 2017/2/15 0:00:00,已复核,94,136,101,66,29,1.5,124,PM2.5,轻度污染,三级,124,93,51,83,29,38
株洲市,株洲市, 2017/2/16 0:00:00,已复核,72,109,118,41,28,0.8,97,PM2.5,良,二级,97,80,65,52,28,20
株洲市,株洲市, 2017/2/17 0:00:00,已复核,146,189,99,46,33,1.2,195,PM2.5,中度污染,四级,195,120,50,58,33,30
株洲市,株洲市, 2017/2/18 0:00:00,已复核,137,210,28,48,17,0.8,182,PM2.5,中度污染,四级,182,130,14,60,17,20
株洲市,株洲市, 2017/2/19 0:00:00,已复核,122,196,98,51,22,1,160,PM2.5,中度污染,四级,160,123,49,64,22,25
株洲市,株洲市, 2017/2/20 0:00:00,已复核,72,112,89,35,17,0.7,97,PM2.5,良,二级,97,81,45,44,17,18
株洲市,株洲市, 2017/2/21 0:00:00,已复核,47,93,29,29,20,0.5,72,PM10,良,二级,65,72,15,37,20,13
株洲市,株洲市, 2017/2/22 0:00:00,已复核,36,43,43,27,12,0.5,52,PM2.5,良,二级,52,43,22,34,12,13
株洲市,株洲市, 2017/2/23 0:00:00,已复核,53,66,53,28,10,0.6,73,PM2.5,良,二级,73,58,27,35,10,15
株洲市,株洲市, 2017/2/24 0:00:00,已复核,34,46,69,26,8,0.5,49,,优,一级,49,46,35,33,8,13
株洲市,株洲市, 2017/2/25 0:00:00,已复核,56,79,75,38,33,0.7,77,PM2.5,良,二级,77,65,38,48,33,18
株洲市,株洲市, 2017/2/26 0:00:00,已复核,67,97,94,54,26,0.8,90,PM2.5,良,二级,90,74,47,68,26,20
株洲市,株洲市, 2017/2/27 0:00:00,已复核,77,124,91,73,26,1,103,PM2.5,轻度污染,三级,103,87,46,92,26,25
株洲市,株洲市, 2017/2/28 0:00:00,已复核,84,120,97,55,37,0.8,112,PM2.5,轻度污染,三级,112,85,49,69,37,20
湘潭市,湘潭市, 2017/2/15 0:00:00,已复核,86,137,97,76,46,1.2,114,PM2.5,轻度污染,三级,114,94,49,95,46,30
湘潭市,湘潭市, 2017/2/16 0:00:00,已复核,68,114,111,47,35,1,92,PM2.5,良,二级,92,82,60,59,35,25
湘潭市,湘潭市, 2017/2/17 0:00:00,已复核,120,179,96,40,26,1.2,158,PM2.5,中度污染,四级,158,115,48,50,26,30
湘潭市,湘潭市, 2017/2/18 0:00:00,已复核,112,186,40,42,19,0.8,147,PM2.5,轻度污染,三级,147,118,20,53,19,20
湘潭市,湘潭市, 2017/2/19 0:00:00,已复核,111,189,100,53,35,1.4,145,PM2.5,轻度污染,三级,145,120,50,67,35,35
湘潭市,湘潭市, 2017/2/20 0:00:00,已复核,62,109,80,31,22,0.9,84,PM2.5,良,二级,84,80,40,39,22,23
湘潭市,湘潭市, 2017/2/21 0:00:00,已复核,38,75,38,21,14,0.7,63,PM10,良,二级,54,63,19,27,14,18
湘潭市,湘潭市, 2017/2/22 0:00:00,已复核,34,39,51,19,14,0.6,49,,优,一级,49,39,26,24,14,15
湘潭市,湘潭市, 2017/2/23 0:00:00,已复核,47,56,60,29,15,0.6,65,PM2.5,良,二级,65,53,30,37,15,15
湘潭市,湘潭市, 2017/2/24 0:00:00,已复核,34,47,75,29,16,0.5,49,,优,一级,49,47,38,37,16,13
湘潭市,湘潭市, 2017/2/25 0:00:00,已复核,51,70,90,36,23,0.6,70,PM2.5,良,二级,70,60,45,45,23,15
湘潭市,湘潭市, 2017/2/26 0:00:00,已复核,62,91,96,45,23,0.7,84,PM2.5,良,二级,84,71,48,57,23,18
湘潭市,湘潭市, 2017/2/27 0:00:00,已复核,74,116,101,52,30,0.7,99,PM2.5,良,二级,99,83,51,65,30,18
湘潭市,湘潭市, 2017/2/28 0:00:00,已复核,78,124,104,46,34,1,104,PM2.5,轻度污染,三级,104,87,54,58,34,25
衡阳市,衡阳市, 2017/2/15 0:00:00,已复核,92,127,93,59,31,1.8,122,PM2.5,轻度污染,三级,122,89,47,74,31,45
衡阳市,衡阳市, 2017/2/16 0:00:00,已复核,73,106,100,45,24,1.5,98,PM2.5,良,二级,98,78,50,57,24,38
衡阳市,衡阳市, 2017/2/17 0:00:00,已复核,116,141,91,39,21,1.7,152,PM2.5,中度污染,四级,152,96,46,49,21,43
衡阳市,衡阳市, 2017/2/18 0:00:00,已复核,160,201,58,28,14,1.4,210,PM2.5,重度污染,五级,210,126,29,35,14,35
衡阳市,衡阳市, 2017/2/19 0:00:00,已复核,123,168,96,38,24,1.5,162,PM2.5,中度污染,四级,162,109,48,48,24,38
衡阳市,衡阳市, 2017/2/20 0:00:00,已复核,55,79,83,28,17,1.1,75,PM2.5,良,二级,75,65,42,35,17,28
衡阳市,衡阳市, 2017/2/21 0:00:00,已复核,69,94,37,19,10,1.1,93,PM2.5,良,二级,93,72,19,24,10,28
衡阳市,衡阳市, 2017/2/22 0:00:00,已复核,29,31,50,17,5,0.9,42,,优,一级,42,31,25,22,5,23
衡阳市,衡阳市, 2017/2/23 0:00:00,已复核,54,50,53,20,9,1,74,PM2.5,良,二级,74,50,27,25,9,25
衡阳市,衡阳市, 2017/2/24 0:00:00,已复核,32,36,73,16,8,0.9,46,,优,一级,46,36,37,20,8,23
衡阳市,衡阳市, 2017/2/25 0:00:00,已复核,53,59,77,28,15,1.2,73,PM2.5,良,二级,73,55,39,35,15,30
衡阳市,衡阳市, 2017/2/26 0:00:00,已复核,67,80,99,35,21,1.3,90,PM2.5,良,二级,90,65,50,44,21,33
衡阳市,衡阳市, 2017/2/27 0:00:00,已复核,70,92,107,36,25,1.3,94,PM2.5,良,二级,94,71,56,45,25,33
衡阳市,衡阳市, 2017/2/28 0:00:00,已复核,66,75,76,26,16,1.1,89,PM2.5,良,二级,89,63,38,33,16,28
邵阳市,邵阳市, 2017/2/15 0:00:00,已复核,119,158,87,55,46,1.6,156,PM2.5,中度污染,四级,156,104,44,69,46,40
邵阳市,邵阳市, 2017/2/16 0:00:00,已复核,99,122,94,40,32,1.3,130,PM2.5,轻度污染,三级,130,86,47,50,32,33
邵阳市,邵阳市, 2017/2/17 0:00:00,已复核,90,112,84,28,28,1.4,119,PM2.5,轻度污染,三级,119,81,42,35,28,35
邵阳市,邵阳市, 2017/2/18 0:00:00,已复核,142,192,78,28,30,1.7,189,PM2.5,中度污染,四级,189,121,39,35,30,43
邵阳市,邵阳市, 2017/2/19 0:00:00,已复核,96,140,104,34,30,1.5,127,PM2.5,轻度污染,三级,127,95,54,43,30,38
邵阳市,邵阳市, 2017/2/20 0:00:00,已复核,76,99,63,34,36,1.4,102,PM2.5,轻度污染,三级,102,75,32,43,36,35
邵阳市,邵阳市, 2017/2/21 0:00:00,已复核,59,74,32,16,14,1.3,80,PM2.5,良,二级,80,62,16,20,14,33
邵阳市,邵阳市, 2017/2/22 0:00:00,已复核,19,24,59,8,11,1,30,,优,一级,28,24,30,10,11,25
邵阳市,邵阳市, 2017/2/23 0:00:00,已复核,31,34,68,9,14,1,45,,优,一级,45,34,34,12,14,25
邵阳市,邵阳市, 2017/2/24 0:00:00,已复核,33,37,80,9,15,1,48,,优,一级,48,37,40,12,15,25
邵阳市,邵阳市, 2017/2/25 0:00:00,已复核,47,54,85,15,25,1.1,65,PM2.5,良,二级,65,52,43,19,25,28
邵阳市,邵阳市, 2017/2/26 0:00:00,已复核,60,76,103,28,38,1.2,82,PM2.5,良,二级,82,63,53,35,38,30
邵阳市,邵阳市, 2017/2/27 0:00:00,已复核,68,95,83,42,42,1.4,92,PM2.5,良,二级,92,73,42,53,42,35
邵阳市,邵阳市, 2017/2/28 0:00:00,已复核,78,101,80,36,60,1.4,104,PM2.5,轻度污染,三级,104,76,40,45,55,35
岳阳市,岳阳市, 2017/2/15 0:00:00,已复核,73,108,101,47,20,0.9,98,PM2.5,良,二级,98,79,51,59,20,23
岳阳市,岳阳市, 2017/2/16 0:00:00,已复核,71,105,116,27,22,0.9,95,PM2.5,良,二级,95,78,64,34,22,23
岳阳市,岳阳市, 2017/2/17 0:00:00,已复核,100,177,69,32,15,1.2,132,PM2.5,轻度污染,三级,132,114,35,40,15,30
岳阳市,岳阳市, 2017/2/18 0:00:00,已复核,68,120,29,32,17,1,92,PM2.5,良,二级,92,85,15,40,17,25
岳阳市,岳阳市, 2017/2/19 0:00:00,已复核,93,145,103,29,23,1.2,123,PM2.5,轻度污染,三级,123,98,53,37,23,30
岳阳市,岳阳市, 2017/2/20 0:00:00,已复核,68,120,83,24,16,1,92,PM2.5,良,二级,92,85,42,30,16,25
岳阳市,岳阳市, 2017/2/21 0:00:00,已复核,25,46,42,14,7,0.7,46,,优,一级,36,46,21,18,7,18
岳阳市,岳阳市, 2017/2/22 0:00:00,已复核,40,53,55,14,12,0.8,57,PM2.5,良,二级,57,52,28,18,12,20
岳阳市,岳阳市, 2017/2/23 0:00:00,已复核,43,65,76,15,15,0.8,60,PM2.5,良,二级,60,58,38,19,15,20
岳阳市,岳阳市, 2017/2/24 0:00:00,已复核,38,60,91,16,15,0.8,55,PM10,良,二级,54,55,46,20,15,20
岳阳市,岳阳市, 2017/2/25 0:00:00,已复核,55,82,103,31,19,0.8,75,PM2.5,良,二级,75,66,53,39,19,20
岳阳市,岳阳市, 2017/2/26 0:00:00,已复核,54,80,112,34,18,0.9,74,PM2.5,良,二级,74,65,60,43,18,23
岳阳市,岳阳市, 2017/2/27 0:00:00,已复核,52,84,113,39,21,0.9,72,PM2.5,良,二级,72,67,61,49,21,23
岳阳市,岳阳市, 2017/2/28 0:00:00,已复核,67,114,105,53,32,1,90,PM2.5,良,二级,90,82,55,67,32,25
常德市,常德市, 2017/2/15 0:00:00,已复核,91,131,59,44,20,1,120,PM2.5,轻度污染,三级,120,91,30,55,20,25
常德市,常德市, 2017/2/16 0:00:00,已复核,60,84,100,30,13,1.2,82,PM2.5,良,二级,82,67,50,38,13,30
常德市,常德市, 2017/2/17 0:00:00,已复核,118,178,92,26,16,1.4,155,PM2.5,中度污染,四级,155,114,46,33,16,35
常德市,常德市, 2017/2/18 0:00:00,已复核,83,141,78,25,14,1.1,110,PM2.5,轻度污染,三级,110,96,39,32,14,28
常德市,常德市, 2017/2/19 0:00:00,已复核,111,166,68,46,22,2,145,PM2.5,轻度污染,三级,145,108,34,58,22,50
常德市,常德市, 2017/2/20 0:00:00,已复核,114,188,50,35,16,2.1,149,PM2.5,轻度污染,三级,149,119,25,44,16,53
常德市,常德市, 2017/2/21 0:00:00,已复核,28,50,48,10,4,1.2,50,,优,一级,40,50,24,13,4,30
常德市,常德市, 2017/2/22 0:00:00,已复核,34,52,48,10,8,1.2,51,PM10,良,二级,49,51,24,13,8,30
常德市,常德市, 2017/2/23 0:00:00,已复核,28,46,76,15,11,1.1,46,,优,一级,40,46,38,19,11,28
常德市,常德市, 2017/2/24 0:00:00,已复核,23,39,97,10,12,1,49,,优,一级,33,39,49,13,12,25
常德市,常德市, 2017/2/25 0:00:00,已复核,37,62,99,19,14,1.1,56,PM10,良,二级,53,56,50,24,14,28
常德市,常德市, 2017/2/26 0:00:00,已复核,46,76,109,32,13,1.2,64,PM2.5,良,二级,64,63,58,40,13,30
常德市,常德市, 2017/2/27 0:00:00,已复核,52,88,119,41,16,1.4,72,PM2.5,良,二级,72,69,66,52,16,35
常德市,常德市, 2017/2/28 0:00:00,已复核,58,82,114,29,14,1,79,PM2.5,良,二级,79,66,62,37,14,25
张家界市,张家界市, 2017/2/15 0:00:00,已复核,63,86,36,32,10,1.6,85,PM2.5,良,二级,85,68,18,40,10,40
张家界市,张家界市, 2017/2/16 0:00:00,已复核,61,84,89,26,11,1.5,83,PM2.5,良,二级,83,67,45,33,11,38
张家界市,张家界市, 2017/2/17 0:00:00,已复核,96,144,102,30,12,1.6,127,PM2.5,轻度污染,三级,127,97,52,38,12,40
张家界市,张家界市, 2017/2/18 0:00:00,已复核,123,182,86,24,13,1.5,162,PM2.5,中度污染,四级,162,116,43,30,13,38
张家界市,张家界市, 2017/2/19 0:00:00,已复核,111,165,69,34,12,1.9,145,PM2.5,轻度污染,三级,145,108,35,43,12,48
张家界市,张家界市, 2017/2/20 0:00:00,已复核,100,151,48,30,9,2,132,PM2.5,轻度污染,三级,132,101,24,38,9,50
张家界市,张家界市, 2017/2/21 0:00:00,已复核,35,42,92,15,8,1.4,50,,优,一级,50,42,46,19,8,35
张家界市,张家界市, 2017/2/22 0:00:00,已复核,19,26,75,17,9,1.4,38,,优,一级,28,26,38,22,9,35
张家界市,张家界市, 2017/2/23 0:00:00,已复核,26,37,56,16,8,1.4,38,,优,一级,38,37,28,20,8,35
张家界市,张家界市, 2017/2/24 0:00:00,已复核,31,43,77,15,8,1.3,45,,优,一级,45,43,39,19,8,33
张家界市,张家界市, 2017/2/25 0:00:00,已复核,34,53,67,20,9,1.5,52,PM10,良,二级,49,52,34,25,9,38
张家界市,张家界市, 2017/2/26 0:00:00,已复核,36,56,80,22,9,1.6,53,PM10,良,二级,52,53,40,28,9,40
张家界市,张家界市, 2017/2/27 0:00:00,已复核,44,80,91,26,10,1.7,65,PM10,良,二级,62,65,46,33,10,43
张家界市,张家界市, 2017/2/28 0:00:00,已复核,41,78,101,26,10,1.7,64,PM10,良,二级,58,64,51,33,10,43
益阳市,益阳市, 2017/2/15 0:00:00,已复核,98,126,113,47,33,1.3,129,PM2.5,轻度污染,三级,129,88,61,59,33,33
益阳市,益阳市, 2017/2/16 0:00:00,已复核,86,120,132,44,30,1.4,114,PM2.5,轻度污染,三级,114,85,77,55,30,35
益阳市,益阳市, 2017/2/17 0:00:00,已复核,144,182,99,31,16,1.4,192,PM2.5,中度污染,四级,192,116,50,39,16,35
益阳市,益阳市, 2017/2/18 0:00:00,已复核,119,155,56,31,15,1,156,PM2.5,中度污染,四级,156,103,28,39,15,25
益阳市,益阳市, 2017/2/19 0:00:00,已复核,127,154,118,43,17,1.3,168,PM2.5,中度污染,四级,168,102,65,54,17,33
